Crop,Question,Answer,text,clean_text,Cluster
cassava,By which means does cassava reproduce,Seed after pollination,By which means does cassava reproduce Seed after pollination,mean cassava reproduce seed pollination,4
beans,Can I use chemicals to control weeds when beans are just germinating?,"No, the herbicides will kill the young beans","Can I use chemicals to control weeds when beans are just germinating? No, the herbicides will kill the young beans",use chemical control weed bean germinating herbicide kill young bean,1
cassava,Can I use chemicals to kill weeds in a cassava garden?,"Yes, there are some chemicals that are selective","Can I use chemicals to kill weeds in a cassava garden? Yes, there are some chemicals that are selective",use chemical kill weed cassava garden yes chemical selective,1
cassava,Can cassava seeds germinate if planted?,No,Can cassava seeds germinate if planted? No,cassava seed germinate planted,3
cassava,Can stem cutting affected by hailstorm have good yield?,No,Can stem cutting affected by hailstorm have good yield? No,stem cutting affected hailstorm good yield,4
general,Can the chemical used for storing affect seed germination?,"No, it does not affect germination","Can the chemical used for storing affect seed germination? No, it does not affect germination",chemical used storing affect seed germination affect germination,3
general,Can't spraying chemicals causes environmental pollution,Yes,Can't spraying chemicals causes environmental pollution Yes,cant spraying chemical cause environmental pollution yes,4
general,Cant spraying chemicals affect soil?,"Yes, especially uncontrolled spraying may kill none targeted organisms, can damage soil biomass and microorganisms","Cant spraying chemicals affect soil? Yes, especially uncontrolled spraying may kill none targeted organisms, can damage soil biomass and microorganisms",cant spraying chemical affect soil yes especially uncontrolled spraying may kill none targeted organism damage soil biomass microorganism,2
cassava,Cassava and maize which one makes a person stronger?,Both can depend on how much but cassava has more calories per kilogram,Cassava and maize which one makes a person stronger? Both can depend on how much but cassava has more calories per kilogram,cassava maize one make person stronger depend much cassava calorie per kilogram,4
cassava,Cassava and maize which one makes you stronger in food stuff?,Cassava has more calories and maize has more proteins,Cassava and maize which one makes you stronger in food stuff? Cassava has more calories and maize has more proteins,cassava maize one make stronger food stuff cassava calorie maize protein,4
cassava,Do I need to put the cassava stem in the sun for some time before planting?,"Yes, it stimulates sprouting","Do I need to put the cassava stem in the sun for some time before planting? Yes, it stimulates sprouting",need put cassava stem sun time planting yes stimulates sprouting,4
general,Do we have a selective pesticide for rodent?,No,Do we have a selective pesticide for rodent? No,selective pesticide rodent,4
cassava,Does Uganda export cassava flour to outside countries?,Yes,Does Uganda export cassava flour to outside countries? Yes,uganda export cassava flour outside country yes,4
cassava,Does cassava have much sugar in it when testing?,Yes but not as much as sugar cane,Does cassava have much sugar in it when testing? Yes but not as much as sugar cane,cassava much sugar testing yes much sugar cane,4
cassava,Does cassava mosaic affect the cassava stems?,"Yes, It makes them small and not good for planting","Does cassava mosaic affect the cassava stems? Yes, It makes them small and not good for planting",cassava mosaic affect cassava stem yes make small good planting,0
general,Does locusts have poison to the Crops?,No,Does locusts have poison to the Crops? No,locust poison crop,4
maize,Does planting Maize on lines help to reduce soil erosion?,Yes,Does planting Maize on lines help to reduce soil erosion? Yes,planting maize line help reduce soil erosion yes,2
beans,Does spraying beans during flowering time affect it 's ability to good yield,It may if you dont spray the right chemicals,Does spraying beans during flowering time affect it 's ability to good yield It may if you dont spray the right chemicals,spraying bean flowering time affect ability good yield may dont spray right chemical,3
general,During what time is good for spraying,Calm weather early in the day,During what time is good for spraying Calm weather early in the day,time good spraying calm weather early day,4
cassava,For how long cassava is ready to be harvested?,9-12 months,For how long cassava is ready to be harvested? 9-12 months,long cassava ready harvested month,4
cassava,For how long cassava takes to harvest?,For majority of varieties between 9 – 12 months,For how long cassava takes to harvest? For majority of varieties between 9 – 12 months,long cassava take harvest majority variety month,4
cassava,For how many times should I mulch my cassava garden,Once,For how many times should I mulch my cassava garden Once,many time mulch cassava garden,4
maize,For how many times should I weed maize?,Weeding is done every time (at least two times)there are many weeds in the garden,For how many times should I weed maize? Weeding is done every time (at least two times)there are many weeds in the garden,many time weed maize weeding done every time least two timesthere many weed garden,4
cassava,Give me 10 names of cassava?,"NASE 1, NASE 2, NASE 10, NAROCASS 1","Give me 10 names of cassava? NASE 1, NASE 2, NASE 10, NAROCASS 1",give name cassava nase nase nase narocass,4
general,Give three types of soil,"Sandy,loam and clay soils","Give three types of soil Sandy,loam and clay soils",give three type soil sandyloam clay soil,2
cassava,How can CBB be managed in a field of cassava,Uproot and burn the infected materials,How can CBB be managed in a field of cassava Uproot and burn the infected materials,cbb managed field cassava uproot burn infected material,4
general,How can I avoid pest on my crops?,Use pesticides or appropriate methods of planting,How can I avoid pest on my crops? Use pesticides or appropriate methods of planting,avoid pest crop use pesticide appropriate method planting,1
cassava,How do we deal with cassava thieve?,Hire security men to be around the garden,How do we deal with cassava thieve? Hire security men to be around the garden,deal cassava thieve hire security men around garden,4
maize,How best can I preserve my flour to avoid it becoming dark,Dry your produce on tarpaulins or cement floor away from dust and grit that would contaminate them,How best can I preserve my flour to avoid it becoming dark Dry your produce on tarpaulins or cement floor away from dust and grit that would contaminate them,best preserve flour avoid becoming dark dry produce tarpaulin cement floor away dust grit would contaminate,4
general,How can I add compost manure to the soil?,Spread the manure in the garden,How can I add compost manure to the soil? Spread the manure in the garden,add compost manure soil spread manure garden,2
general,How can I add manure into the Soil?,Add and plough into the soil,How can I add manure into the Soil? Add and plough into the soil,add manure soil add plough soil,2
beans,How can I apply fertilizer in my beans garden?,Broadcast or apply near the plant,How can I apply fertilizer in my beans garden? Broadcast or apply near the plant,apply fertilizer bean garden broadcast apply near plant,4
cassava,How can I apply fertilizer in cassava garden?,Apply just when planting to improve germination and vigor,How can I apply fertilizer in cassava garden? Apply just when planting to improve germination and vigor,apply fertilizer cassava garden apply planting improve germination vigor,4
maize,How can I apply fertilizer in my maize garden?,Broad cast or apply around individual plant,How can I apply fertilizer in my maize garden? Broad cast or apply around individual plant,apply fertilizer maize garden broad cast apply around individual plant,4
general,How can I apply fertilizer to the soil?,Apply around the plant if possible broadcast,How can I apply fertilizer to the soil? Apply around the plant if possible broadcast,apply fertilizer soil apply around plant possible broadcast,4
beans,How can I avoid red or orange color on my bean leaves?,Use good agric practice,How can I avoid red or orange color on my bean leaves? Use good agric practice,avoid red orange color bean leaf use good agric practice,1
general,How can I conserve Soil?,Use mulches and other practices,How can I conserve Soil? Use mulches and other practices,conserve soil use mulch practice,2
maize,How can I control Bacterial stalk in maize plants?,Use good cropping practices,How can I control Bacterial stalk in maize plants? Use good cropping practices,control bacterial stalk maize plant use good cropping practice,1
maize,How can I control stalk rot in Maize?,Use resistant varieties,How can I control stalk rot in Maize? Use resistant varieties,control stalk rot maize use resistant variety,1
maize,How can I control Bacterial stripe in Maize plants?,Use resistant varieties and increase on water availability for crop vigor,How can I control Bacterial stripe in Maize plants? Use resistant varieties and increase on water availability for crop vigor,control bacterial stripe maize plant use resistant variety increase water availability crop vigor,1
cassava,How can I control Cassava mosaic?,Use resistant varieties of cassava and manage the crop well,How can I control Cassava mosaic? Use resistant varieties of cassava and manage the crop well,control cassava mosaic use resistant variety cassava manage crop well,1
cassava,How can I control Nut grass in my Cassava garden?,Spray with herbicide,How can I control Nut grass in my Cassava garden? Spray with herbicide,control nut grass cassava garden spray herbicide,1
maize,How can I control Stewart's disease on Maize leaves?,Use good cropping practices,How can I control Stewart's disease on Maize leaves? Use good cropping practices,control stewart disease maize leaf use good cropping practice,1
beans,How can I control aphids in bean plant,Spray with pesticide,How can I control aphids in bean plant Spray with pesticide,control aphid bean plant spray pesticide,1
maize,How can I control bacteria leaf blight in maize,Use resistant varieties,How can I control bacteria leaf blight in maize Use resistant varieties,control bacteria leaf blight maize use resistant variety,1
beans,How can I control bean rust,Use resistant varieties,How can I control bean rust Use resistant varieties,control bean rust use resistant variety,1
beans,How can I control bean weeds in my store?,Use pest control chemicals recommended in stores,How can I control bean weeds in my store? Use pest control chemicals recommended in stores,control bean weed store use pest control chemical recommended store,1
beans,How can I control bean weevil during storage,"Good storage practices such as using Pico bags, storing on pallets and use of insectides when combined allow for better storage iof maize","How can I control bean weevil during storage Good storage practices such as using Pico bags, storing on pallets and use of insectides when combined allow for better storage iof maize",control bean weevil storage good storage practice using pico bag storing pallet use insectides combined allow better storage iof maize,1
beans,How can I control bean weevil in my dry stored beans?,Use pesticides recommended,How can I control bean weevil in my dry stored beans? Use pesticides recommended,control bean weevil dry stored bean use pesticide recommended,1
beans,How can I control beans weevils in my store,Use insecticides,How can I control beans weevils in my store Use insecticides,control bean weevil store use insecticide,1
beans,How can I control beetles in beans,Use cultural methods like planting repellants,How can I control beetles in beans Use cultural methods like planting repellants,control beetle bean use cultural method like planting repellant,1
maize,How can I control brown streaks disease in maize plant,Maize doesnt suffer from brown streak. However viral disease can be controlled using improved varieties,How can I control brown streaks disease in maize plant Maize doesnt suffer from brown streak. However viral disease can be controlled using improved varieties,control brown streak disease maize plant maize doesnt suffer brown streak however viral disease controlled using improved variety,0
beans,How can I control can I control mole rat in my bean,Use rodenticides,How can I control can I control mole rat in my bean Use rodenticides,control control mole rat bean use rodenticides,1
cassava,How can I control cassava bacterial blight.,Good crop management in addition to using disease resistant varieties controls diseases,How can I control cassava bacterial blight. Good crop management in addition to using disease resistant varieties controls diseases,control cassava bacterial blight good crop management addition using disease resistant variety control disease,1
cassava,How can I control cassava brown streak diseases,Use resistant varieties of cassava and manage the crop well,How can I control cassava brown streak diseases Use resistant varieties of cassava and manage the crop well,control cassava brown streak disease use resistant variety cassava manage crop well,0
cassava,How can I control cassava green mites disease in my cassava.,Before planting inspect and select materials free from disease and green mites. Also use good management practices.,How can I control cassava green mites disease in my cassava. Before planting inspect and select materials free from disease and green mites. Also use good management practices.,control cassava green mite disease cassava planting inspect select material free disease green mite also use good management practice,1
cassava,How can I control cassava green mites in my cassava,Before planting inspect and select materials free from disease and green mites. Also use good management practices.,How can I control cassava green mites in my cassava Before planting inspect and select materials free from disease and green mites. Also use good management practices.,control cassava green mite cassava planting inspect select material free disease green mite also use good management practice,1
cassava,How can I control cassava green mites?,Before planting inspect and select materials free from disease and green mites. Also use good management practices.,How can I control cassava green mites? Before planting inspect and select materials free from disease and green mites. Also use good management practices.,control cassava green mite planting inspect select material free disease green mite also use good management practice,1
cassava,How can I control cassava leaf folding,Control pests and drought,How can I control cassava leaf folding Control pests and drought,control cassava leaf folding control pest drought,1
cassava,How can I control cassava mealy bugs,Reduce on fertilizer levels and prune off infected parts.,How can I control cassava mealy bugs Reduce on fertilizer levels and prune off infected parts.,control cassava mealy bug reduce fertilizer level prune infected part,4
cassava,How can I control cassava mosaic disease.,Cassava mosaic disease is controlled by the use clean planting material of resistant varieties,How can I control cassava mosaic disease. Cassava mosaic disease is controlled by the use clean planting material of resistant varieties,control cassava mosaic disease cassava mosaic disease controlled use clean planting material resistant variety,0
cassava,How can I control cassava weevils during storage?,Use chemicals,How can I control cassava weevils during storage? Use chemicals,control cassava weevil storage use chemical,1
cassava,How can I control cassava white flies in my cassava garden.,Intercorpping cassava maize/spraying pesticides,How can I control cassava white flies in my cassava garden. Intercorpping cassava maize/spraying pesticides,control cassava white fly cassava garden intercorpping cassava maizespraying pesticide,1
beans,How can I control caterpillar eating the stems of my beans plant,Use insecticides,How can I control caterpillar eating the stems of my beans plant Use insecticides,control caterpillar eating stem bean plant use insecticide,1
cassava,How can I control cockroaches in my cassava store.,Use insecticides which is approved,How can I control cockroaches in my cassava store. Use insecticides which is approved,control cockroach cassava store use insecticide approved,1
maize,How can I control deficiency in maize,Apply a fertilizer,How can I control deficiency in maize Apply a fertilizer,control deficiency maize apply fertilizer,4
beans,How can I control flies in my beans garden,Spray them or use resistant crops of the crop you are planting,How can I control flies in my beans garden Spray them or use resistant crops of the crop you are planting,control fly bean garden spray use resistant crop crop planting,1
beans,How can I control goat weeds in my bean garden.,Use herbicides,How can I control goat weeds in my bean garden. Use herbicides,control goat weed bean garden use herbicide,1
cassava,How can I control maintain cassava garden look health.,Good management practices and use of the right varieties,How can I control maintain cassava garden look health. Good management practices and use of the right varieties,control maintain cassava garden look health good management practice use right variety,1
maize,How can I control maize streak disease,Use tolerant varieties and practice good practices,How can I control maize streak disease Use tolerant varieties and practice good practices,control maize streak disease use tolerant variety practice good practice,1
cassava,How can I control mole rat in my cassava,Use rodenticdes or rat poison,How can I control mole rat in my cassava Use rodenticdes or rat poison,control mole rat cassava use rodenticdes rat poison,1
maize,How can I control my maize seeds from being dormant,Harvest when mature and keep well,How can I control my maize seeds from being dormant Harvest when mature and keep well,control maize seed dormant harvest mature keep well,3
cassava,How can I control pests from my Cassava garden,Use good crop management practices and where possible use chemicals (pesticieds) to kill the pests,How can I control pests from my Cassava garden Use good crop management practices and where possible use chemicals (pesticieds) to kill the pests,control pest cassava garden use good crop management practice possible use chemical pesticieds kill pest,1
cassava,How can I control pig weeds in my cassava garden.,Use the right herbicide which is recommended,How can I control pig weeds in my cassava garden. Use the right herbicide which is recommended,control pig weed cassava garden use right herbicide recommended,1
cassava,How can I control scale insects in cassava garden,Apply pesticide,How can I control scale insects in cassava garden Apply pesticide,control scale insect cassava garden apply pesticide,1
general,How can I control soil erosion,Farmers can terrace their gardens or mulch their gardens to stop erosion,How can I control soil erosion Farmers can terrace their gardens or mulch their gardens to stop erosion,control soil erosion farmer terrace garden mulch garden stop erosion,2
cassava,How can I control soil erosion in cassava garden,Mulching,How can I control soil erosion in cassava garden Mulching,control soil erosion cassava garden mulching,2
cassava,How can I control spear grass in my Cassava garden?,Use the right herbicide which is recommended,How can I control spear grass in my Cassava garden? Use the right herbicide which is recommended,control spear grass cassava garden use right herbicide recommended,1
cassava,How can I control spider on cassava leaves,Use mitecides,How can I control spider on cassava leaves Use mitecides,control spider cassava leaf use mitecides,1
maize,How can I control stalk rot in maize ?,Use resistant varieties,How can I control stalk rot in maize ? Use resistant varieties,control stalk rot maize use resistant variety,1
beans,How can I control star grass in my bean garden?,Use the right herbicide which is recommended,How can I control star grass in my bean garden? Use the right herbicide which is recommended,control star grass bean garden use right herbicide recommended,1
beans,How can I control stem borers in beans,Use resistant varieties and increase on water availability for crop vigor,How can I control stem borers in beans Use resistant varieties and increase on water availability for crop vigor,control stem borer bean use resistant variety increase water availability crop vigor,1
maize,How can I control stringer in my maize gardens,Good crop management in addition to using disease resistant varieties controls diseases,How can I control stringer in my maize gardens Good crop management in addition to using disease resistant varieties controls diseases,control stringer maize garden good crop management addition using disease resistant variety control disease,1
cassava,How can I control termites eating my Cassava roots?,Use termiticides and harvest early,How can I control termites eating my Cassava roots? Use termiticides and harvest early,control termite eating cassava root use termiticides harvest early,1
general,How can I control termites in my garden,Use termiticides on recommendation of the agric offcier,How can I control termites in my garden Use termiticides on recommendation of the agric offcier,control termite garden use termiticides recommendation agric offcier,1
general,How can I control the growth of spear grass in the garden.,Weed off the weeds early and where possibble spray with the recomended herbicide,How can I control the growth of spear grass in the garden. Weed off the weeds early and where possibble spray with the recomended herbicide,control growth spear grass garden weed weed early possibble spray recomended herbicide,1
beans,How can I control the spread of beans mosaic,Use good varieties,How can I control the spread of beans mosaic Use good varieties,control spread bean mosaic use good variety,1
cassava,How can I control the under ground pests like mole rats in my Cassava,Use traps or rodenticides,How can I control the under ground pests like mole rats in my Cassava Use traps or rodenticides,control ground pest like mole rat cassava use trap rodenticides,1
cassava,How can I control thief in my cassava garden,Security guarding,How can I control thief in my cassava garden Security guarding,control thief cassava garden security guarding,4
maize,How can I control top rot disease in my maize plants ?,Use recommended practices and cultural control practices,How can I control top rot disease in my maize plants ? Use recommended practices and cultural control practices,control top rot disease maize plant use recommended practice cultural control practice,1
cassava,How can I control water longing in cassava garden?,Drain the land using terraces,How can I control water longing in cassava garden? Drain the land using terraces,control water longing cassava garden drain land using terrace,4
cassava,How can I control water longing in my cassava garden,Use draining terraces,How can I control water longing in my cassava garden Use draining terraces,control water longing cassava garden use draining terrace,1
cassava,How can I control water longing in my cassava garden?,Use terraces,How can I control water longing in my cassava garden? Use terraces,control water longing cassava garden use terrace,1
maize,How can I control weevils in my maize store,Use phsphine,How can I control weevils in my maize store Use phsphine,control weevil maize store use phsphine,1
beans,How can I control weeds in my bean garden,Weed regularly or use herbicides if crop is herbicide ready,How can I control weeds in my bean garden Weed regularly or use herbicides if crop is herbicide ready,control weed bean garden weed regularly use herbicide crop herbicide ready,1
cassava,How can I control weevils in the cassava store?,Use the recommended pesticides and insecticides,How can I control weevils in the cassava store? Use the recommended pesticides and insecticides,control weevil cassava store use recommended pesticide insecticide,1
cassava,How can I control white flies on my Cassava leaves?,Use pestcides recommended,How can I control white flies on my Cassava leaves? Use pestcides recommended,control white fly cassava leaf use pestcides recommended,1
maize,How can I control yellowing in maize,Use resistant varieties,How can I control yellowing in maize Use resistant varieties,control yellowing maize use resistant variety,1
cassava,How can I detect cassava stem infected by cassava brown streak?,Yellowing of leaves on the plant and browning of stems that have streaks on them,How can I detect cassava stem infected by cassava brown streak? Yellowing of leaves on the plant and browning of stems that have streaks on them,detect cassava stem infected cassava brown streak yellowing leaf plant browning stem streak,0
general,How can I determine good yield seeds?,You can consult with the seed company for performance records,How can I determine good yield seeds? You can consult with the seed company for performance records,determine good yield seed consult seed company performance record,3
beans,How can I do away with beans weevils,Spray them or use resistant varieties,How can I do away with beans weevils Spray them or use resistant varieties,away bean weevil spray use resistant variety,1
general,How can I do drip irrigating method in my garden?,Set up drips and supply water,How can I do drip irrigating method in my garden? Set up drips and supply water,drip irrigating method garden set drip supply water,4
maize,How can I do drip irrigation method to my maize garden?,Use drips available from irrigation experts,How can I do drip irrigation method to my maize garden? Use drips available from irrigation experts,drip irrigation method maize garden use drip available irrigation expert,4
general,How can I do good crop management,Use good cropping practices,How can I do good crop management Use good cropping practices,good crop management use good cropping practice,1
maize,How can I eliminate weeds in maize garden,Remove them by weeding,How can I eliminate weeds in maize garden Remove them by weeding,eliminate weed maize garden remove weeding,4
general,How can I follow rotation practice,Grow different crops as advised by the agric officer,How can I follow rotation practice Grow different crops as advised by the agric officer,follow rotation practice grow different crop advised agric officer,4
general,How can I get clean planting materials,Approach NARO or district agric officer,How can I get clean planting materials Approach NARO or district agric officer,get clean planting material approach naro district agric officer,4
general,How can I get good seeds for planting,From NARO and seed suppliers,How can I get good seeds for planting From NARO and seed suppliers,get good seed planting naro seed supplier,3
cassava,How can I get healthy cassava cutting for planting,NARO through district based cassava seed suppliers and OWC NAADS provides healthy cuttings,How can I get healthy cassava cutting for planting NARO through district based cassava seed suppliers and OWC NAADS provides healthy cuttings,get healthy cassava cutting planting naro district based cassava seed supplier owc naads provides healthy cutting,4
cassava,How can I get healthy cassava for planting,From the district Agric officer or NARO institute,How can I get healthy cassava for planting From the district Agric officer or NARO institute,get healthy cassava planting district agric officer naro institute,4
maize,How can I get ready market for my maize?,Ask the commercial officer at district,How can I get ready market for my maize? Ask the commercial officer at district,get ready market maize ask commercial officer district,4
general,How can I get the percentage of humus in the Soil,Dark like color with of the soil can give you a hint on the amount of humus,How can I get the percentage of humus in the Soil Dark like color with of the soil can give you a hint on the amount of humus,get percentage humus soil dark like color soil give hint amount humus,2
cassava,How can I harvest cassava.,Uproot using a hoe,How can I harvest cassava. Uproot using a hoe,harvest cassava uproot using hoe,4
beans,How can I harvest my beans?,Pull them out of ground with hands,How can I harvest my beans? Pull them out of ground with hands,harvest bean pull ground hand,3
general,How can I identify pests and diseases in my farm,Get training from Agricultural Officer,How can I identify pests and diseases in my farm Get training from Agricultural Officer,identify pest disease farm get training agricultural officer,4
maize,How can I identify the maize variety?,Look at its physical characteristics,How can I identify the maize variety? Look at its physical characteristics,identify maize variety look physical characteristic,4
general,How can I improve on crop yeild.,Use good seed and practice good crop management,How can I improve on crop yeild. Use good seed and practice good crop management,improve crop yeild use good seed practice good crop management,1
maize,How can I improve on maize products,Use good varieties,How can I improve on maize products Use good varieties,improve maize product use good variety,1
beans,How can I improve on my bean products?,Use good seeds,How can I improve on my bean products? Use good seeds,improve bean product use good seed,3
general,How can I improve on soil sample to get better crop production.,Use fertilizers,How can I improve on soil sample to get better crop production. Use fertilizers,improve soil sample get better crop production use fertilizer,2
general,How can I improve on the fertility of the soil,Use fertilizers and manure,How can I improve on the fertility of the soil Use fertilizers and manure,improve fertility soil use fertilizer manure,2
maize,How can I improve on the nutrients in maize,Add a fertilizer in the garden,How can I improve on the nutrients in maize Add a fertilizer in the garden,improve nutrient maize add fertilizer garden,4
beans,How can I improve on yield of beans?,Use fertilizers and good varieties,How can I improve on yield of beans? Use fertilizers and good varieties,improve yield bean use fertilizer good variety,1
general,How can I improve the fertility of my soil,Use fertilizers and manure,How can I improve the fertility of my soil Use fertilizers and manure,improve fertility soil use fertilizer manure,2
beans,How can I improve the fertility of my soil for growing beans,Use both organic and inorganic fertilizers and good management practices,How can I improve the fertility of my soil for growing beans Use both organic and inorganic fertilizers and good management practices,improve fertility soil growing bean use organic inorganic fertilizer good management practice,2
general,How can I improve the fertility of soil,Applying organic mature/ planting trees,How can I improve the fertility of soil Applying organic mature/ planting trees,improve fertility soil applying organic mature planting tree,2
beans,How can I improve the yield of my beans,Use fertilizers in the garden,How can I improve the yield of my beans Use fertilizers in the garden,improve yield bean use fertilizer garden,1
beans,How can I improve the yield of my beans?,Plant good varieties and use good agric practices,How can I improve the yield of my beans? Plant good varieties and use good agric practices,improve yield bean plant good variety use good agric practice,1
maize,How can I improve the yield of my maize,Use clean seed of resistant varieties and good agronomic practice,How can I improve the yield of my maize Use clean seed of resistant varieties and good agronomic practice,improve yield maize use clean seed resistant variety good agronomic practice,1
general,How can I improve upon the soil fertility after over land usage?,Add fertilizers,How can I improve upon the soil fertility after over land usage? Add fertilizers,improve upon soil fertility land usage add fertilizer,2
beans,How can I know a bad quality growth in beans,Poor germination,How can I know a bad quality growth in beans Poor germination,know bad quality growth bean poor germination,3
cassava,How can I know a bad quality growth in cassava,It should have at least 4 nodes and a size of diameter of about 2 cm,How can I know a bad quality growth in cassava It should have at least 4 nodes and a size of diameter of about 2 cm,know bad quality growth cassava least node size diameter cm,4
maize,How can I know a bad quality growth in maize,The amount of cobs on the maize,How can I know a bad quality growth in maize The amount of cobs on the maize,know bad quality growth maize amount cob maize,4
cassava,How can I know a good quality of cassava cutting for planting,It should have at least 4 nodes and a size of diameter of about 2 cm,How can I know a good quality of cassava cutting for planting It should have at least 4 nodes and a size of diameter of about 2 cm,know good quality cassava cutting planting least node size diameter cm,4
beans,How can I know that my bean crops have excessive application of Nitrogen.,A lot of leaves on the plant,How can I know that my bean crops have excessive application of Nitrogen. A lot of leaves on the plant,know bean crop excessive application nitrogen lot leaf plant,3
beans,How can I know that my beans are dry for storage?,The color of the pod,How can I know that my beans are dry for storage? The color of the pod,know bean dry storage color pod,3
beans,How can I know that my beans are dry for store,Pods mature when they are yellowish and or left on the plant to mature and dry in the sun becoming brown.,How can I know that my beans are dry for store Pods mature when they are yellowish and or left on the plant to mature and dry in the sun becoming brown.,know bean dry store pod mature yellowish left plant mature dry sun becoming brown,3
beans,How can I know that my beans is dry for storage,Yellowing of pods and drying after,How can I know that my beans is dry for storage Yellowing of pods and drying after,know bean dry storage yellowing pod drying,3
maize,How can I know that my maize crops has excessive application of nitrogen in it.,The amount of vegetative growth-Above normal,How can I know that my maize crops has excessive application of nitrogen in it. The amount of vegetative growth-Above normal,know maize crop excessive application nitrogen amount vegetative growthabove normal,4
maize,How can I know that this maize floor is expired?,It is discolored,How can I know that this maize floor is expired? It is discolored,know maize floor expired discolored,4
general,How can I know the best quality of fertilizer?,Testing it in the laboratory or soil testing,How can I know the best quality of fertilizer? Testing it in the laboratory or soil testing,know best quality fertilizer testing laboratory soil testing,2
general,How can I know the fertility of my soil,Test the nitrogen content,How can I know the fertility of my soil Test the nitrogen content,know fertility soil test nitrogen content,2
general,How can I know the fertilizer of my soil,Testing it in the laboratory or soil testing,How can I know the fertilizer of my soil Testing it in the laboratory or soil testing,know fertilizer soil testing laboratory soil testing,2
general,How can I know the fertilizer of soil.,By first testing the soil followed by recommendations from an expert,How can I know the fertilizer of soil. By first testing the soil followed by recommendations from an expert,know fertilizer soil first testing soil followed recommendation expert,2
maize,How can I know the health maize seeds for planting.,Buy from NARO of certified seed suppliers,How can I know the health maize seeds for planting. Buy from NARO of certified seed suppliers,know health maize seed planting buy naro certified seed supplier,3
general,How can I maintain fertility of my land,Add fertilizers,How can I maintain fertility of my land Add fertilizers,maintain fertility land add fertilizer,4
cassava,How can I maintain my Cassava garden?,Pesticides and cultural control procedures can be mixed to control pests,How can I maintain my Cassava garden? Pesticides and cultural control procedures can be mixed to control pests,maintain cassava garden pesticide cultural control procedure mixed control pest,1
general,How can I maintain soil fertility,Add fertilizers,How can I maintain soil fertility Add fertilizers,maintain soil fertility add fertilizer,2
general,How can I maintain the fertility of my Soil?,Use both organic and inorganic fertilizers and good management practices,How can I maintain the fertility of my Soil? Use both organic and inorganic fertilizers and good management practices,maintain fertility soil use organic inorganic fertilizer good management practice,2
general,How can I make compose manure.,Segregate waste and choose only organic waste which you add to dry leaves and grass and cover for about a month or two to allow it to compost and make manure,How can I make compose manure. Segregate waste and choose only organic waste which you add to dry leaves and grass and cover for about a month or two to allow it to compost and make manure,make compose manure segregate waste choose organic waste add dry leaf grass cover month two allow compost make manure,4
