Unnamed: 0,text,labels
2200,می بینم ، از اینکه آن را به اشتراک گذاشتید متشکرم.آیا این یک واقعه اخیر یا دور بود؟,1
2201,آیا می توانم بپرسم که آیا این چیزی اخیر بوده است یا در گذشته که این احساس را به وجود آورده است؟,1
2202,آیا رویدادی که باعث ناراحتی شما شده است احساس اخیر یا دور می شود؟,1
2203,آیا این اتفاقی است که اخیراً اتفاق افتاده است یا مدت زمان بیشتری؟,1
2204,آیا این اتفاق به دلیل وضعیت اخیر یا دوردست رخ داده است؟,1
2205,آیا چیزی اخیر یا دوردست باعث ایجاد این احساسات شده است؟,1
2206,آیا احساس می کنید وضعیتی که باعث می شود این احساسات را تجربه کنید اخیر یا دور است؟,1
2207,آیا این اتفاقی است که فقط در گذشته اتفاق افتاده است؟,1
2208,آیا رویدادی که باعث شده است که احساس کنید این راه اخیراً اتفاق افتاده است یا مدتها پیش؟,1
2209,آیا این اتفاقی است که اخیراً افتاده است یا چیزی دورتر است؟,1
2210,می بینم ، متشکرمآیا این ناشی از یک رویداد اخیر یا دور (یا وقایع) بود؟,1
2211,آیا این رویداد اخیراً اتفاق افتاده است یا مدتی برگشت؟,1
2212,این مهم است که بفهمید چه مدت با این موضوع سر و کار داشته اید.آیا می توانم بپرسم که آیا این یک واقعه اخیر یا دور بوده است؟,1
2213,آیا این اتفاق توسط یک واقعه اخیر یا دوردست ایجاد شده است؟,1
2214,آیا این رویداد اخیراً اتفاق افتاده است یا در گذشته؟,1
2215,با تشکر از شما ، من می خواهم بدانم که چه اتفاقی در زندگی شما فکر می کنید این احساس را برانگیخته است.آیا این یک رویداد اخیر بود یا در گذشته دورتر بود؟,1
2216,آیا می توانم بپرسم که آیا اخیراً یا مدتها پیش این اتفاق افتاده است؟,1
2217,آیا این به دلیل یک رویداد یا رویدادهای اخیر یا دورتر بوده است؟,1
2218,خوب است که اینگونه احساس کنید.آیا این رویداد اخیر بود یا چندی پیش اتفاق افتاد؟,1
2219,من میفهمم.آیا این اتفاق اخیراً رخ داده است یا این چیزی است که در گذشته دور اتفاق افتاده است؟,1
2220,متاسفم ، این باید سخت بوده است.آیا اتفاقی که اخیراً افتاد یا مدتها پیش اتفاق افتاد؟,1
2221,آیا این احساس به دلیل یک واقعه اخیر یا دوردست بوجود آمده است؟,1
2222,آیا می توانید در مورد آنچه اتفاق افتاده است بیشتر به من بگویید.آیا این رویداد دور بود یا اخیر؟,1
2223,من می فهمم ، از اینکه به اشتراک گذاشتید متشکرم.آیا می گویید که این یک رویداد اخیر یا دور بود ، تا بتوانم تصویر بهتری بگیرم؟,1
2224,آیا این رویداد اخیراً یا چندی پیش اتفاق افتاده است؟,1
2225,آیا رویدادی که باعث این احساسات اخیر شده بود یا در گذشته های دور بود؟,1
2226,آیا از گذشته دور خود چیزی را به خاطر می آورید یا چیزی جدیدتر بود؟,1
2227,آیا فکر می کنید چیزی اخیر باعث این احساس شده است ، یا چیزی دورتر بود؟,1
2228,ممنون که به من اطلاع دادیدآیا این ناشی از یک رویداد اخیر یا دور (یا وقایع) بود؟,1
2229,اوه می فهمم.آیا این اتفاق اخیراً رخ داده است یا قبل؟,1
2230,آیا این رویداد اخیراً اتفاق افتاده است یا مدتی برگشت؟,1
2231,متاسفم که این را شنیدمآیا به ویژه اتفاقات اخیر وجود دارد که شما می توانید به عنوان علت این امر جدا شوید ، یا این رویدادی است که مدتی اتفاق افتاد؟,1
2232,آیا می گویید این نتیجه یک رویداد از گذشته اخیر یا دور است؟,1
2233,متاسفم که در مورد آن شنیدمآیا این اتفاق اخیراً یا چندی پیش اتفاق افتاده است؟,1
2234,متاسفم که این را شنیدمآیا می توانم بپرسم که آیا ناشی از یک رویداد اخیر یا دوردست (یا وقایع) بوده است؟,1
2235,این اخیراً بود ، یا چندی پیش این اتفاق افتاد؟,1
2236,خیلی ممنون که به من اطلاع دادید.آیا می گویید که این یک رویداد (یا وقایع) اخیر یا دور بود که باعث این احساسات شد؟,1
2237,من می فهمم ، متشکرمو آیا این رویداد اخیر یا دورتر بود؟در هر صورت ، امیدوارم که برای شما خیلی آسیب زا نباشد.,1
2238,آیا آن رویداد اخیر بود یا در گذشته شما دورتر بود؟,1
2239,من میفهمم.آیا این مربوط به اتفاقی است که اخیراً اتفاق افتاده است یا یک رویداد دورتر؟,1
2240,من می فهمم ، متشکرمآیا می گویید این رویداد اخیراً اتفاق افتاده است ، یا چیزی را از گذشته دورتر به یاد می آورید؟,1
2241,با دانستن اینکه احساسات شما برای من مهم است ، باید در مورد تعامل قبلی خود با پروتکل ها از شما بپرسم.آیا اخیراً در هر زمان به پروتکل 6 اقدام کرده اید ، و اگر چنین بود ، احساسات سختی را برای شما به یاد می آورید که این رویداد را به خاطر بسپارید؟,2
2242,برخی از افراد دریافتند که پروتکل 6 لزوماً به آنها کمک نمی کند ، بنابراین من سعی می کنم ارزیابی کنم که آیا این می تواند برای وضعیت فعلی شما مناسب باشد یا خیر.آیا پروتکل 6 را امتحان کرده اید ، و آیا این باعث شده است که احساسات منفی را احساس کنید؟,2
2243,متشکرم ، من می فهممآیا می گویید که این احساسات منفی با تلاش اخیر در پروتکل 6 ایجاد شده است؟,2
2244,آیا می توانید به من اطلاع دهید که آیا اخیراً روی پروتکل 6 کار کرده اید و این احساسات بد را از این رویداد گذشته به وجود آورده است؟,2
2245,آیا پروتکل 6 را امتحان کرده اید و اگر چنین بود ، با نگاهی به این واقعه آسیب زا ، زخمهای قدیمی را که باعث طغیان احساسات شد ، بازگشایی کرد؟,2
2246,من تعجب می کنم ، آیا تلاش پروتکل 6 اخیراً باعث ایجاد احساس بد شده است؟اگر این اتفاق افتاد ، امیدوارم که شما از آن تمرین زیاد رنج نبرید.,2
2247,آیا توانستید پروتکل 6 را امتحان کنید ، و اگر چنین بود ، آیا احساس می کنید پروتکل همان احساسات دشوار را که در گذشته تجربه کرده اید به وجود آورده اید؟,2
2248,آیا شما به هیچ وجه پروتکل 6 را امتحان کرده اید و اگر چنین بود ، این احساسات منفی را از گذشته ایجاد کرده است؟,2
2249,من می فهمم که می تواند دشوار باشد.آیا می توانم از شما بپرسم که آیا شما پروتکل 6 را امتحان کرده اید تا احساساتی را که احساس می کنید بهتر درک کنید ، اما رسیدن به آن خیلی دردناک بود؟,2
2250,آیا اخیراً سعی کرده اید پروتکل 6 را طی کنید و در نتیجه ، احساسات کنترل نشده ای داشته باشید که با اتفاقاتی که در گذشته اتفاق افتاده است ، بازگردانده می شدند؟,2
2251,آیا می توانید به من بگویید که آیا بعد از تلاش برای پروتکل 6 برای تجدید نظر در یک واقعه آسیب زا از گذشته ، این احساس را احساس کردید؟,2
2252,آیا پروتکل 6 را انجام دادید و آیا این باعث شده است که احساس بدتر کنید؟,2
2253,آیا احساس می کنید که احساسات غم انگیز اخیر شما ممکن است به تلاش برای پروتکل 6 نسبت داده شود؟,2
2254,آیا شما سعی کردید پروتکل 6 را تکمیل کنید و منجر به ایجاد مجدد احساسات بد به دلیل اتفاقاتی که در گذشته رخ داده است؟,2
2255,آیا اخیراً پروتکل 6 را امتحان کرده اید و آیا برخی از احساسات سخت از گذشته را بازگرداند؟,2
2256,آیا سعی کردید از پروتکل 6 استفاده کنید ، و اگر چنین است ، آیا این احساسات به دلیل وقایع گذشته باعث ایجاد احساسات دشوار شده است؟,2
2257,آیا اتفاقاً پروتکل 6 را امتحان کردید و فکر می کنید به همین دلیل است که شما این احساسات منفی را دارید؟,2
2258,آیا اخیراً پروتکل 6 را امتحان کرده اید ، و اگر دارید ، آیا این احساسات دشوار از وقایع گذشته به وجود آمده است؟,2
2259,وقایع از گذشته ما ممکن است احساسات بالایی را ایجاد کند.آیا هنگام انجام پروتکل 6 احساسات منفی شدید را تجربه کرده اید؟,2
2260,آیا اخیراً پروتکل 6 را امتحان کرده اید و به دلیل خاطرات قدیمی این احساسات غیرقابل کنترل را کشف کرده اید؟,2
2261,آیا واقعاً احساس ناراحتی در این رویداد منفی گذشته می کنید؟,2
2262,آیا فکر می کنید که فکر کردن به این رویداد اکنون می تواند به شما آسیب برساند؟,2
2263,آیا سعی کرده اید از پروتکل 6 استفاده کنید و آیا احساسات ناراحت کننده را به وجود آورده است؟,2
2264,آیا اخیراً پروتکل 6 را امتحان کرده اید و متوجه شده اید که احساسات غیرقابل کنترل ناشی از وقایع گذشته به زندگی است؟,2
2265,پروتکل 6 می تواند احساساتی را که ممکن است در مدت زمان طولانی احساس نکرده باشید به وجود آورد ، بنابراین نمی دانم که آیا این انتخاب مناسبی برای شما خواهد بود.آیا این امکان وجود دارد که اخیراً به پروتکل 6 اقدام کرده باشید و این مجدداً این احساسات منفی را مجدداً مجدداً انجام داده است؟,2
2266,آیا سعی کردید پروتکل 6 را دنبال کنید و اگر چنین بود شما را ناراحت کرد؟,2
2267,با تشکر از شما برای باز بودن ، من سعی می کنم بهترین راه برای کمک به شما را تعیین کنم و بدانم که تجدید نظر در مورد تروما چقدر سخت است.من کنجکاو هستم اگر پروتکل 6 برای شما خیلی دردناک باشد؟,2
2268,آیا سعی کردید پروتکل 6 را انجام دهید ، و اگر چنین بود باعث ایجاد احساسات ناراحت کننده شد؟,2
2269,آیا اخیراً به پروتکل 6 اقدام کرده اید و در نتیجه وقایع آسیب زا را زنده کرده است؟,2
2270,آیا پروتکل 6 را امتحان کرده اید و شاید دریافتید که این به روشی که امیدوار بودید کمکی نمی کند؟,2
2271,من فکر می کنم پروتکل 6 ممکن است کمک کند ، اما من می خواهم قبل از پیشنهاد آن کمی بیشتر تحقیق کنم.اگر اخیراً پروتکل 6 را امتحان کرده اید ، می توانید به من بگویید که آیا این احساسات غیرقابل کنترل را به دلیل وقایع قدیمی به وجود آورده است؟,2
2272,آیا اخیراً سعی کرده اید در مورد این رویداد فکر کنید اما آن را خیلی دردناک دیدید؟,2
2273,آیا پروتکل 6 را امتحان کرده اید و اگر چنین است ، آیا در مورد گذشته افکار منفی داشتید که باعث شده ذهن شما در آن جهت سرگردان شود؟,2
2274,آیا استفاده از پروتکل 6 پس از این اتفاق ، احساسات شما را بر اساس این وضعیت گذشته غیرقابل کنترل تر کرد؟,2
2275,قبل از اینکه بیشتر پیش برویم ، می خواهم به سنجش بپردازم که کدام پروتکل می تواند به بهترین وجه مناسب شما باشد.آیا قبلاً پروتکل 6 را پشت سر گذاشته اید و دریافتید که این امر بر شما تأثیر منفی گذاشته است؟,2
2276,آیا می توانید به من اطلاع دهید که آیا اخیراً به پروتکل 6 اقدام کرده اید و این احساسات غیرقابل کنترل را در نتیجه وقایع قدیمی پیدا کرده اید؟,2
2277,باشه ، از این بابت متشکرمآیا اخیراً پروتکل 6 را امتحان کرده اید ، و آیا باعث شده احساسات سخت از بین بروند؟,2
2278,آیا پروتکل 6 را امتحان کردید ، و اگر چنین است ، آیا این باعث شده است که احساس بدتر کنید؟,2
2279,این مایه تاسف استآیا پروتکل 6 را امتحان کرده اید و آیا همان احساسات دشواری را که نسبت به این رویداد احساس کرده اید ، برانگیخته است؟,2
2280,آیا به دلیل وقایع گذشته ، متوجه شدید که آیا احساسات غیرقابل تحمل وجود دارد که از تلاش برای پروتکل 6 (اگر این کار را انجام داده اید) وجود داشته است؟,2
2281,آیا این احساسی است که نتیجه شما در حال انجام پروتکل 6 است؟,2
2282,بسیار متاسفم که شما این کار را می کنید.آیا اخیراً به پروتکل 6 اقدام کرده اید و این احساسات غیرقابل کنترل را در نتیجه وقایع قدیمی پیدا کرده اید؟,2
2283,تمرینات موجود در پروتکل 6 برای برخی می تواند دشوار باشد ، بنابراین من می خواهم بدانم که آیا آنها می توانند انتخاب مناسبی برای شما باشند.آیا تمرینات موجود در پروتکل 6 را انجام داده اید و آنها را دشوار یا آسیب زا می دانید؟,2
2284,با تشکر از شما برای به اشتراک گذاشتن این با من ، می فهمم که می تواند دشوار باشد.من می خواهم از شما بپرسم که آیا اخیراً به پروتکل 6 اقدام کرده اید و اگر چنین است ، اگر در نتیجه آن احساس مضرات بیشتری کرده اید.,2
2285,آیا می توانم بپرسم که آیا قبلاً پروتکل 6 را پشت سر گذاشته اید و دریافتم که احساسات دشوار را به وجود آورده است؟,2
2286,آیا با تلاش برای پروتکل 6 سعی کرده اید به آن واقعه فکر کنید ، و اگر چنین بود ، آیا این احساسات دشوار را به وجود آورد؟,2
2287,آیا اخیراً در تلاش بودید با پروتکل 6 به جلو بروید و آیا ترومای که مورد بررسی مجدد قرار گرفتید ، مقابله با آن بسیار دشوار شد؟,2
2288,با تشکر از شما برای آن ، شاید پروتکل 6 بتواند به شما در مقابله با این رویداد کمک کند ، اما قبل از اینکه بتوانم آن را توصیه کنم می خواهم اطمینان حاصل کنم که در گذشته تجربه بدی با آن نداشته اید.آیا قبلاً به پروتکل 6 اقدام کرده اید و اگر چنین است ، آیا احساسات دشوار یا آسیب زا را برانگیخته است؟,2
2289,با دانستن اینکه احساسات شما برای من مهم است ، باید در مورد تعامل قبلی خود با پروتکل ها از شما بپرسم.آیا اخیراً در هر زمان به پروتکل 11 اقدام کرده اید ، و در این صورت احساسات سختی را برای شما به یاد می آورید که این رویداد را به خاطر بسپارید؟,3
2290,برخی از مردم دریافتند که پروتکل 11 لزوماً به آنها کمک نمی کند ، بنابراین من سعی می کنم ارزیابی کنم که آیا این می تواند برای وضعیت فعلی شما مناسب باشد یا خیر.آیا پروتکل 11 را امتحان کرده اید ، و آیا این باعث شده است که احساسات منفی را احساس کنید؟,3
2291,متشکرم ، من می فهممآیا می گویید که این احساسات منفی با تلاش اخیر در پروتکل 11 ایجاد شده است؟,3
2292,آیا می توانید به من اطلاع دهید که آیا اخیراً روی پروتکل 11 کار کرده اید و این احساسات بدی از این رویداد اخیر به وجود آورده است؟,3
2293,آیا پروتکل 11 را امتحان کرده اید و اگر چنین بود ، با نگاهی به این رویداد اخیر ، زخمهای خود را دوباره به وجود آورد که باعث طغیان احساسات شد؟,3
2294,من تعجب می کنم ، آیا تلاش پروتکل 6 اخیراً باعث ایجاد احساس بد شده است؟اگر این اتفاق افتاد ، امیدوارم که شما از آن تمرین زیاد رنج نبرید.,3
2295,آیا توانستید پروتکل 11 را امتحان کنید ، و اگر چنین بود ، آیا احساس می کنید پروتکل همان احساسات دشوار را که در طول این رویداد تجربه کرده اید به وجود آورده اید؟,3
2296,آیا شما به هیچ وجه پروتکل 11 را امتحان کرده اید و اگر چنین بود ، این احساسات منفی از گذشته اخیر را ایجاد کرده است؟,3
2297,من می فهمم که می تواند دشوار باشد.آیا می توانم بپرسم که آیا شما پروتکل 11 را امتحان کرده اید تا احساساتی را که احساس می کنید بهتر درک کنید ، اما رسیدن به آن خیلی دردناک بود؟,3
2298,آیا اخیراً سعی کرده اید پروتکل 11 را طی کنید و در نتیجه ، احساسات کنترل نشده ای داشته باشید که توسط اتفاقاتی که در گذشته اخیر اتفاق افتاده است ، دوباره بازگردانده شده اند؟,3
2299,آیا می توانید به من بگویید که آیا بعد از تلاش برای پروتکل 11 برای تجدید نظر در این رویداد از گذشته اخیر ، احساس این راه را کردید؟,3
2300,آیا پروتکل 11 را انجام دادید و آیا این باعث شده است که احساس بدتر کنید؟,3
2301,آیا احساس می کنید که احساسات غم انگیز اخیر شما ممکن است به تلاش برای پروتکل 11 نسبت داده شود؟,3
2302,آیا سعی کردید پروتکل 11 را تکمیل کنید و این امر به دلیل اتفاقاتی که در گذشته اخیر رخ داده است ، باعث ایجاد مجدد احساسات بد شد؟,3
2303,آیا اخیراً پروتکل 11 را امتحان کرده اید و آیا برخی از احساسات سخت از گذشته اخیر را بازگرداند؟,3
2304,آیا سعی کردید از پروتکل 11 استفاده کنید ، و اگر چنین است ، آیا این احساسات به دلیل وقایع اخیر باعث ایجاد احساسات دشوار شده است؟,3
2305,آیا اتفاقاً پروتکل 11 را امتحان کردید و فکر می کنید به همین دلیل است که شما این احساسات منفی را دارید؟,3
2306,آیا اخیراً پروتکل 11 را امتحان کرده اید ، و اگر دارید ، احساسات سختی را از وقایع اخیر به وجود آورد؟,3
2307,وقایع از گذشته اخیر ما ممکن است باعث افزایش احساسات شود.آیا هنگام انجام پروتکل 11 احساسات منفی شدید را تجربه کرده اید؟,3
2308,آیا اخیراً پروتکل 11 را امتحان کرده اید و به دلیل خاطرات اخیر این احساسات غیرقابل کنترل را کشف کرده اید؟,3
2309,آیا واقعاً احساس ناراحتی می کنید که این رویداد منفی اخیر را از بین ببرید؟,3
2310,آیا فکر می کنید که فکر کردن به این رویداد اکنون می تواند به شما آسیب برساند؟,3
2311,آیا سعی کرده اید از پروتکل 11 استفاده کنید و آیا احساسات ناراحت کننده را به وجود آورده است؟,3
2312,آیا اخیراً پروتکل 11 را امتحان کرده اید و متوجه شده اید که احساسات غیرقابل کنترل ناشی از وقایع اخیر به زندگی است؟,3
2313,پروتکل 11 می تواند احساساتی را که ممکن است در مدتی احساس نکرده باشید به وجود آورد ، بنابراین نمی دانم که آیا این انتخاب مناسب برای شما خواهد بود.آیا این امکان وجود دارد که اخیراً به پروتکل 11 اقدام کرده باشید و این احساسات منفی را به خود جلب کرده است؟,3
2314,آیا سعی کردید پروتکل 11 را دنبال کنید و اگر چنین بود شما را ناراحت کرد؟,3
2315,با تشکر از شما برای باز بودن ، من سعی می کنم بهترین راه برای کمک به شما را تعیین کنم و بدانم که تجدید نظر در مورد تروما چقدر سخت است.من کنجکاو هستم اگر پروتکل 11 برای شما خیلی دردناک باشد؟,3
2316,آیا سعی کردید پروتکل 11 را انجام دهید ، و اگر چنین بود باعث ایجاد احساسات ناراحت کننده شد؟,3
2317,آیا اخیراً به پروتکل 11 اقدام کرده اید و در نتیجه وقایع آسیب زا را زنده کرده است؟,3
2318,آیا پروتکل 11 را امتحان کرده اید و شاید دریافتید که این به روشی که امیدوار بودید کمکی نمی کند؟,3
2319,من فکر می کنم پروتکل 11 ممکن است کمک کند ، اما من می خواهم قبل از پیشنهاد آن کمی بیشتر تحقیق کنم.اگر اخیراً پروتکل 11 را امتحان کرده اید ، می توانید به من بگویید که آیا این احساسات غیرقابل کنترل را به دلیل وقایع اخیر به وجود آورده است؟,3
2320,آیا اخیراً سعی کرده اید در مورد این رویداد فکر کنید اما آن را خیلی دردناک دیدید؟,3
2321,آیا پروتکل 11 را امتحان کرده اید و اگر چنین است ، آیا در مورد گذشته اخیر که باعث شده ذهن شما در آن جهت سرگردان باشد ، افکار منفی داشتید؟,3
2322,آیا استفاده از پروتکل 11 پس از این اتفاق ، احساسات شما را بر اساس این وضعیت اخیر غیرقابل کنترل تر کرد؟,3
2323,قبل از اینکه بیشتر پیش برویم ، می خواهم به سنجش بپردازم که کدام پروتکل می تواند به بهترین وجه مناسب شما باشد.آیا قبلاً پروتکل 11 را پشت سر گذاشته اید و دریافتید که این امر بر شما تأثیر منفی گذاشته است؟,3
2324,آیا می توانید به من اطلاع دهید که آیا اخیراً به پروتکل 11 اقدام کرده اید و این احساسات غیرقابل کنترل را در نتیجه وقایع اخیر پیدا کرده اید؟,3
2325,باشه ، از این بابت متشکرمآیا اخیراً پروتکل 11 را امتحان کرده اید ، و آیا باعث شده احساسات سخت از بین بروند؟,3
2326,آیا پروتکل 11 را امتحان کردید ، و اگر چنین است ، آیا این باعث شده است که احساس بدتر کنید؟,3
2327,این مایه تاسف استآیا پروتکل 11 را امتحان کرده اید و آیا همان احساسات دشواری را که نسبت به این رویداد احساس کرده اید ، برانگیخته است؟,3
2328,آیا به دلیل وقایع اخیر ، متوجه شده اید که آیا احساسات غیرقابل تحمل وجود دارد که از تلاش برای پروتکل 11 (اگر این کار را انجام داده اید) به وجود آمده است؟,3
2329,آیا این احساسی است که نتیجه شما در حال انجام پروتکل 11 است؟,3
2330,بسیار متاسفم که شما این کار را می کنید.آیا اخیراً به پروتکل 11 اقدام کرده اید و این احساسات غیرقابل کنترل را در نتیجه وقایع اخیر پیدا کرده اید؟,3
2331,تمرینات موجود در پروتکل 11 برای برخی می تواند دشوار باشد ، بنابراین من می خواهم بدانم که آیا آنها می توانند انتخاب مناسبی برای شما باشند.آیا تمرینات موجود در پروتکل 11 را انجام داده اید و آنها را دشوار یا آسیب زا می دانید؟,3
2332,با تشکر از شما برای به اشتراک گذاشتن این با من ، می فهمم که می تواند دشوار باشد.من می خواهم از شما بپرسم که آیا اخیراً به پروتکل 11 اقدام کرده اید و اگر چنین است ، اگر در نتیجه آن احساس مضرات بیشتری کرده اید.,3
2333,آیا می توانم بپرسم که آیا شما قبلاً پروتکل 11 را پشت سر گذاشته اید و دریافتم که این احساسات دشوار را به وجود آورده است؟,3
2334,آیا سعی کرده اید با تلاش برای پروتکل 11 به آن رویداد فکر کنید ، و اگر چنین بود ، آیا این احساسات دشوار را به وجود آورد؟,3
2335,آیا اخیراً در تلاش بودید با پروتکل 11 به جلو بروید و آیا ترومای که مورد بررسی مجدد قرار گرفتید ، مقابله با آن بسیار دشوار شد؟,3
2336,با تشکر از شما برای آن ، شاید پروتکل 11 بتواند به شما در مقابله با این رویداد کمک کند ، اما قبل از اینکه بتوانم آن را توصیه کنم می خواهم اطمینان حاصل کنم که در گذشته تجربه بدی با آن نداشته اید.آیا قبلاً به پروتکل 11 اقدام کرده اید و اگر چنین است ، آیا احساسات دشوار یا آسیب زا را برانگیخته است؟,3
2337,با تشکر از شما که تاکنون بسیار مفید و صبور هستید.اگر مهم نیست ، من چند سوال دیگر دارم که به من کمک می کند تا وضعیت را درک کنم.,4
2338,از اینکه این را با من به اشتراک گذاشتید متشکرممن قصد دارم سؤالاتی از شما بپرسم تا بتوانیم به آنچه شما را نگران می کند برسیم.,4
2339,ممنون که صبر کردید.اکنون برای کمک به درک وضعیت شما چند سوال از شما می پرسم.,4
2340,ممنون که به من گفتیاکنون چند سؤال از شما می پرسم تا کمی بیشتر در مورد وضعیت شما بیاموزید.,4
